skill_idx,priority_score
0.0,0.723961914628222
1.0,0.44056316312642196
2.0,1.0
3.0,1.0
4.0,0.7529287596884805
5.0,0.22888414048178163
6.0,0.4577407587638732
7.0,0.5422945424372934
8.0,1.0
9.0,1.0
10.0,0.6575567649369574
11.0,0.38356094177146105
12.0,0.5642877357464329
13.0,0.7661654233525222
14.0,1.0
15.0,0.6675814387108249
16.0,0.2540530806232407
17.0,1.0
18.0,0.5692948374439812
19.0,1.0
20.0,0.8751623532861188
21.0,0.7157599991063649
22.0,1.0
23.0,1.0
24.0,0.43500679180490864
25.0,0.6868149355104534
26.0,0.8208519919874925
27.0,0.5718012204997815
28.0,1.0
29.0,1.0
30.0,0.3670714607079345
31.0,0.32308310676819973
32.0,0.41258147905210646
33.0,0.5205390340372172
34.0,0.9892231140047272
35.0,0.6427670793824465
36.0,0.24887500680110256
37.0,0.748530168701756
38.0,0.5502835849143521
39.0,1.0
40.0,0.8563063659048856
41.0,0.21562488441804875
42.0,0.4522867003865311
43.0,1.0
44.0,0.6989833556437056
45.0,0.8158263291065093
46.0,0.15046424326296473
47.0,0.5877963657646568
48.0,0.9147954939375231
49.0,0.7995447065066736
0.0,0.7906507680616766
1.0,1.0
2.0,0.713532372056263
3.0,0.7636316144818549
4.0,1.0
5.0,0.7537047702110365
6.0,0.15979796678015537
7.0,0.6375893715270438
8.0,0.7997437403779922
9.0,0.707416728983724
10.0,0.7590870183917953
11.0,0.9869790377932902
12.0,1.0
13.0,0.9337817915428697
14.0,1.0
15.0,0.23262731008948645
16.0,0.12567977043083936
17.0,0.7134550467302809
18.0,0.7099878779766119
19.0,1.0
20.0,0.7891047622966004
21.0,0.4818519227454231
22.0,0.217431937634821
23.0,0.574874972420655
24.0,0.7604398111214935
25.0,0.6758356899055992
26.0,1.0
27.0,0.4209535511300135
28.0,1.0
29.0,1.0
30.0,0.3531533865109091
31.0,0.11616816978693448
32.0,0.23270423800802004
33.0,0.9192447174452102
34.0,1.0
35.0,0.631963237125692
36.0,0.873677744971805
37.0,0.7028659134529169
38.0,0.5628620342866756
39.0,0.4397602546169329
40.0,0.8173452926303777
41.0,0.5742313779621951
42.0,1.0
43.0,0.670189165913366
44.0,0.6759787480663039
45.0,0.6670480483246727
46.0,0.7043465262463431
47.0,0.9042409236224465
48.0,0.3910799066402061
49.0,0.4833527406122726
0.0,0.5709247227875811
1.0,0.648272843934391
2.0,0.2929213906761245
3.0,0.7301896684538388
4.0,1.0
5.0,0.542027482719665
6.0,0.28650414960570025
7.0,1.0
8.0,0.33436260852078814
9.0,0.672575538423216
10.0,0.06754545092427966
11.0,0.3833701039152181
12.0,0.8852990269783823
13.0,0.3238086568146241
14.0,0.4387642594405422
15.0,0.20585736276531386
16.0,0.12768273534026156
17.0,0.590055670018486
18.0,0.5301481416841006
19.0,0.7221510576037059
20.0,0.8372137292943812
21.0,0.5322004733123967
22.0,0.21504877666144867
23.0,0.846815284212859
24.0,0.509383801179233
25.0,0.05934105927117994
26.0,0.42731435120539785
27.0,0.47210572060959527
28.0,0.41169080959994286
29.0,0.6984328412681068
30.0,0.4840631394562437
31.0,0.3511411649231698
32.0,0.23229924737095892
33.0,1.0
34.0,1.0
35.0,0.7066526203763265
36.0,0.5080911010225844
37.0,0.7733394926115351
38.0,1.0
39.0,0.756692786607879
40.0,0.8312791850941801
41.0,0.8723647653619595
42.0,0.48708428239516605
43.0,0.632796501294422
44.0,0.5839208985882816
45.0,0.5026201724047082
46.0,0.9113205223537808
47.0,0.7640146767981937
48.0,0.6546843983742447
49.0,0.8102355014373586
0.0,0.692585212660107
1.0,0.6142670973781214
2.0,0.752718742956991
3.0,0.9096760810792408
4.0,1.0
5.0,0.6256572565930283
6.0,0.7843271274080024
7.0,0.8661274839900255
8.0,1.0
9.0,1.0
10.0,0.5465618159278525
11.0,0.9979581048514955
12.0,1.0
13.0,0.6515146738629676
14.0,1.0
15.0,0.9824681111349555
16.0,0.3068448508476108
17.0,0.5969651158653724
18.0,0.7154510250684688
19.0,1.0
20.0,0.9626704988459508
21.0,0.4056083939835642
22.0,0.9537405249642075
23.0,1.0
24.0,1.0
25.0,0.5882738373989254
26.0,0.671720462335494
27.0,0.48205233319420254
28.0,0.43725018685673356
29.0,0.7340600530833106
30.0,0.2295899041230277
31.0,0.752624136679841
32.0,1.0
33.0,0.45869290076854674
34.0,1.0
35.0,0.12187036371881343
36.0,0.480097887852575
37.0,0.3731844353577742
38.0,0.5995427204503995
39.0,1.0
40.0,0.4197395118620808
41.0,0.20859941289366382
42.0,0.398949716835077
43.0,1.0
44.0,0.8101597216319721
45.0,0.9359792969389967
46.0,0.6612248702588404
47.0,0.7070799997779345
48.0,0.7561763121980479
49.0,1.0
0.0,0.835705174465634
1.0,0.22704926045970655
2.0,0.6084146739643863
3.0,0.5827688939183638
4.0,1.0
5.0,0.7347087562148904
6.0,0.3923266563445459
7.0,0.6083731210317003
8.0,0.7192067027201402
9.0,1.0
10.0,0.47368352602791963
11.0,0.11842796353065357
12.0,0.9300854700194283
13.0,0.3965434600747946
14.0,1.0
15.0,0.5134998324202049
16.0,0.8627089109180791
17.0,0.7501442939495817
18.0,0.4752338425250301
19.0,1.0
20.0,0.9033280065129106
21.0,0.5206836611782056
22.0,0.809418191116257
23.0,0.8524219687214759
24.0,0.9342375734846776
25.0,0.09019961590079584
26.0,0.593980782273386
27.0,0.42514842385337254
28.0,1.0
29.0,1.0
30.0,0.018686179722960605
31.0,0.8367347732972711
32.0,0.3148465093113941
33.0,0.3098513464887598
34.0,0.4136796521030559
35.0,0.46600731623048974
36.0,0.9141127893750816
37.0,0.5114039097590526
38.0,1.0
39.0,0.8211341892804583
40.0,0.18865479232401305
41.0,0.5590784567870547
42.0,0.8269599364861921
43.0,0.8057061396502057
44.0,0.8406663419756863
45.0,0.18845539753027785
46.0,0.7993404827846672
47.0,0.5503973957672663
48.0,1.0
49.0,0.8006333266872654
0.0,0.22155850043284597
1.0,0.9596474231987118
2.0,0.40868813476080307
3.0,0.46811534570271207
4.0,1.0
5.0,0.29814960980440897
6.0,0.5173486564552394
7.0,0.651052243877889
8.0,1.0
9.0,0.9742938995680184
10.0,0.7413872074384806
11.0,1.0
12.0,0.9109636197073403
13.0,0.578853813717551
14.0,1.0
15.0,0.8499220699090819
16.0,0.5307949073573259
17.0,0.8595361059345918
18.0,0.7903961949600126
19.0,0.527551204306456
20.0,0.7288045569183864
