avg_score,min_score,max_score,backlogs,project_failures,num_below_50,failure_class
65.24262158184936,61.85668203951035,68.62856112418837,3.0,1.0,0.0,0
49.597887036744616,31.03288623740509,68.16288783608414,0.0,2.0,1.0,2
94.0992243692601,88.55282729704192,99.64562144147828,3.0,2.0,0.0,0
85.99574381583471,77.76266639663162,94.22882123503781,0.0,0.0,0.0,0
81.5443096187902,80.64463116133433,82.44398807624606,3.0,0.0,0.0,0
37.250500975722304,26.499873511718068,48.00112843972654,1.0,0.0,2.0,3
29.26855202410287,25.493832571705113,33.04327147650063,3.0,1.0,2.0,3
33.34558038180044,24.72406061419832,41.967100149402555,2.0,1.0,2.0,3
39.40168208121106,21.013567880680757,57.78979628174136,3.0,0.0,2.0,3
26.127412032939507,21.075957034446972,31.17886703143204,1.0,1.0,2.0,3
86.631674687591,73.93329714290253,99.33005223227947,2.0,2.0,0.0,0
33.89008112159301,29.850288028502373,37.92987421468365,4.0,2.0,2.0,3
36.995719115201496,24.798784201468948,49.192654028934044,4.0,3.0,2.0,3
86.61187668101779,80.82879204139105,92.39496132064453,2.0,2.0,0.0,0
91.8607400697519,78.22946852925028,100.0,4.0,3.0,0.0,0
36.633584426416746,21.221133349046358,52.04603550378714,0.0,3.0,2.0,3
42.06380697429704,24.45028367674946,59.67733027184461,3.0,3.0,2.0,2
80.00771729270248,61.63581489762826,98.37961968777671,3.0,1.0,0.0,2
92.76979156731534,87.9437534746627,97.59582965996798,1.0,0.0,0.0,0
68.72570729653665,66.14583177379035,71.30558281928296,1.0,0.0,0.0,0
53.19385130966055,52.223507542541206,54.1641950767799,2.0,3.0,0.0,0
70.59346566806009,56.18630832376246,85.00062301235772,3.0,3.0,0.0,0
78.52126331127376,74.78341669316947,82.25910992937804,3.0,1.0,0.0,0
28.449192776264212,12.44586206588152,44.4525234866469,3.0,2.0,3.0,3
52.647376628930665,33.35101354523431,71.94373971262702,3.0,1.0,1.0,2
84.29765476768415,81.33836395936066,87.25694557600764,4.0,0.0,0.0,0
72.90685055871612,67.24023463578615,78.57346648164608,4.0,2.0,0.0,0
31.53307317594087,21.051779126538257,42.014367225343484,2.0,0.0,2.0,3
76.64098941914773,68.03000498072842,85.25197385756704,0.0,0.0,0.0,0
