duration_months,company_tier,role_relevance,project_count,internship_score
12.0,4.0,0.34588525704081674,4.0,8.447392819021648
11.0,3.0,0.6586772919058368,1.0,8.903637788766094
4.0,2.0,0.41103224516804904,5.0,7.828305147823741
6.0,4.0,0.5717640038387147,3.0,6.06159285451664
7.0,3.0,0.8850424247903701,1.0,7.170895840041541
3.0,2.0,0.36388670091806385,2.0,6.377825503569008
10.0,3.0,0.3979238396885486,1.0,7.261419845256045
7.0,4.0,0.8659039712668444,5.0,7.454013334806183
3.0,3.0,0.35809393023784863,1.0,3.644484116778784
6.0,3.0,0.4393628990686843,2.0,6.685082646277714
10.0,1.0,0.8008122223582614,0.0,10.0
6.0,3.0,0.5918669023914298,5.0,8.35512529081373
9.0,2.0,0.9338858487702641,1.0,9.88679580223955
12.0,4.0,0.47066294017222887,3.0,8.581868396518166
5.0,4.0,0.4790264083801581,2.0,4.356820258637758
12.0,1.0,0.042928370716479036,3.0,10.0
5.0,4.0,0.19730316366181666,3.0,4.367086601680861
7.0,4.0,0.539999316051791,1.0,5.2016881285817504
10.0,4.0,0.18711063697115315,2.0,6.503856800307715
1.0,2.0,0.45358339568229844,3.0,6.750597856566801
9.0,2.0,0.28331718012756457,1.0,9.071114998469012
7.0,3.0,0.020813330710572675,0.0,4.507999025654255
8.0,4.0,0.47510942753891583,1.0,5.407287211699655
12.0,2.0,0.6462699822537848,2.0,10.0
6.0,4.0,0.3382336964634661,1.0,4.560506537169933
12.0,2.0,0.7765269615292131,1.0,10.0
7.0,4.0,0.1460539307945985,4.0,5.9313945248231965
3.0,1.0,0.091291735422102,4.0,7.481464981760168
8.0,4.0,0.9348414940460628,5.0,7.915602744674143
3.0,4.0,0.9216565477070114,4.0,5.9710010491447605
11.0,3.0,0.40654424850523885,2.0,8.828161816472951
2.0,3.0,0.4199318880479025,5.0,5.540325769055099
6.0,2.0,0.8510355797973315,5.0,10.0
10.0,4.0,0.5305211180459597,1.0,6.245124550056166
1.0,1.0,0.11711378826719832,1.0,5.649215513965692
6.0,2.0,0.11487344271800148,5.0,8.2939615036628
7.0,1.0,0.13113073830969568,5.0,10.0
